evolution rate,length lived,species population time,population
0.246879,979,94380,96
0.05,20,40,2
0.061667,20,68,3
0.085,20,34,1
0.096667,20,153,7
0.131667,20,36,1
0.143333,20,34,1
0.155,20,42,2
0.166667,20,244,12
0.201667,20,30,1
0.213333,20,32,1
0.271667,20,53,2
0.295,20,52,2
0.306667,20,34,1
0.318333,63,93,1
0.388333,74,172,2
0.283333,85,182,2
0.353333,86,183,2
0.33,88,215,2
0.26,91,106,1
0.365,92,365,3
0.19,108,126,1
0.236667,114,2500,21
0.341667,115,363,3
0.376667,117,272,2
0.225,119,2152,18
0.073333,120,2470,20
0.12,120,16933,141
0.248333,326,9597,29
0.108333,520,56427,108
0.144241,193,2285,11
0.305765,245,9115,37
0.356524,74,101,1
0.088519,108,145,1
0.109475,162,302,1
0.262965,111,155,1
0.178333,1793,167311,93
0.114638,125,200,1
0.199102,156,409,2
0.156325,229,2526,11
0.318771,99,193,1
0.208523,730,9296,12
0.241214,64,99,1
0.208087,105,201,1
0.271425,814,22639,27
0.076594,276,6909,25
0.391808,49,95,1
0.094583,100,198,1
0.383751,98,103,1
0.130525,66,111,1
0.15542,579,21601,37
0.345553,300,1049,3
0.228321,174,533,3
0.31343,76,213,2
0.119814,480,30830,64
0.191058,4001,319080,79
0.211596,1001,100759,100
0.283333,49,89,1
0.376667,53,102,1
0.213333,61,151,2
0.271667,63,146,2
0.295,63,195,3
0.353333,63,149,2
0.33,64,165,2
0.248333,65,181,2
0.341667,65,162,2
0.178333,69,269,3
0.306667,71,143,2
0.365,72,340,4
0.155,76,253,3
0.201667,76,461,6
0.318333,76,419,5
0.225,79,153,1
0.096667,81,294,3
0.061667,83,250,3
0.236667,96,413,4
0.388333,96,643,6
0.073333,103,416,4
0.143333,107,277,2
0.131667,127,621,4
0.19,146,4149,28
0.12,158,838,5
0.26,181,2352,12
0.166667,465,9904,21
0.085,497,40460,81
0.209504,104,321,3
0.161728,85,136,1
0.065104,164,243,1
0.148675,105,243,2
0.108333,997,39277,39
0.337272,92,141,1
0.280237,85,88,1
0.32947,86,147,1
0.05,1497,80901,54
0.299762,71,115,1
0.241802,86,98,1
0.122577,756,64324,85
0.234265,559,35480,63
0.354023,111,189,1
0.167867,232,19277,83
0.342649,668,23837,35
0.245817,91,97,1
0.150809,81,198,2
0.122845,156,432,2
0.18104,126,205,1
0.25175,109,204,1
0.18982,285,452,1
0.27377,129,329,2
0.204904,77,103,1
0.235547,2234,145589,65
0.1988,85,245,2
0.20282,105,484,4
0.205452,77,95,1
0.32282,103,147,1
0.302797,149,155,1
0.290918,60,145,2
0.103832,136,2221,16
0.076799,13,56,4
0.383742,81,191,2
0.273713,67,95,1
0.331347,105,247,2
0.103056,201,792,3
0.15835,202,1093,5
0.17299,4001,243854,60
0.188895,1919,106127,55
0.063346,47,115,2
0.376667,46,89,1
0.295,58,100,1
0.388333,60,146,2
0.12,63,152,2
0.201667,63,253,4
0.213333,64,320,5
0.283333,67,290,4
0.236667,68,322,4
0.096667,69,535,7
0.306667,69,230,3
0.155,70,395,5
0.353333,76,309,4
0.178333,77,765,9
0.19,79,419,5
0.248333,81,248,3
0.318333,81,246,3
0.26,83,343,4
0.365,85,278,3
0.131667,90,800,8
0.166667,90,481,5
0.33,90,406,4
0.05,96,971,10
0.341667,97,815,8
0.225,103,336,3
0.271667,133,2265,17
0.061667,249,19232,77
0.108333,249,28890,116
0.073333,749,43240,57
0.085,749,40466,54
0.143333,749,9319,12
0.323201,71,145,2
0.278685,87,103,1
0.254045,60,102,1
0.259741,84,92,1
0.263216,75,97,1
0.097481,499,21712,43
0.283124,972,102818,105
0.14286,570,42357,74
0.365655,94,151,1
0.209994,302,598,1
0.154867,499,267464,536
0.163313,129,1558,12
0.297678,153,422,2
0.105419,498,593920,1192
0.081667,345,1045,3
0.280014,273,5820,21
0.306599,1964,670571,341
0.146398,499,183304,367
0.07273,224,14765,65
0.366145,81,94,1
0.073463,499,92034,184
0.085811,498,474472,952
0.273796,101,140,1
0.285838,159,246,1
0.167203,999,1552807,1554
0.220325,60,72,1
0.267858,144,506,3
0.066247,70,238,3
0.386618,930,79380,85
0.281876,264,1110,4
0.302737,107,294,2
0.337889,1390,62119,44
0.118066,57,147,2
0.120916,499,6167,12
0.175468,49,89,1
0.303688,109,202,1
0.315705,4001,2234407,558
0.171813,1696,180001,106
0.331515,243,891,3
0.388333,49,91,1
0.295,50,97,1
0.33,52,93,1
0.248333,54,91,1
0.306667,59,143,2
0.201667,60,150,2
0.225,62,247,3
0.283333,62,109,1
0.271667,63,115,1
0.155,70,143,2
0.376667,71,168,2
0.341667,72,138,1
0.12,75,200,2
0.213333,78,346,4
0.365,82,294,3
0.318333,83,153,1
0.353333,108,968,8
0.236667,113,349,3
0.19,125,266,2
0.073333,131,419,3
0.143333,134,699,5
0.26,136,403,2
0.166667,139,415,2
0.061667,147,1510,10
0.178333,147,500,3
0.05,161,434,2
