evo rate,enviormentChangeRate,fitness
0.21,0.52,939.0
0.211,0.52,2216.5
0.212,0.52,2499.0
0.213,0.52,553.0
0.215,0.52,74.0
0.217,0.52,1898.0
0.218,0.52,160.0
0.222,0.52,106.0
0.225,0.52,119.0
0.226,0.52,122.0
0.228,0.52,82.0
0.231,0.52,71.0
0.232,0.52,265.0
0.234,0.52,996.5
0.237,0.52,161.5
0.239,0.52,3295.0
0.24,0.52,266.0
0.242,0.52,675.6666666666666
0.245,0.52,149.0
0.248,0.52,99.0
0.249,0.52,188.0
0.25,0.52,216.0
0.251,0.52,104.0
0.252,0.52,735.0
0.257,0.52,340.3333333333333
0.26,0.52,71.0
0.261,0.52,138.0
0.262,0.52,81.0
0.266,0.52,276.0
0.27,0.52,115.0
0.271,0.52,222.5
0.279,0.52,718.0
0.28,0.52,127.66666666666667
0.282,0.52,130.25
0.283,0.52,76.0
0.284,0.52,112.0
0.286,0.52,176.5
0.287,0.52,324.0
0.288,0.52,931.0
0.289,0.52,207.0
0.29,0.52,93.0
0.291,0.52,122.5
0.292,0.52,307.0
0.293,0.52,75.5
0.294,0.52,95.0
0.295,0.52,243.0
0.296,0.52,182.0
0.303,0.52,135.5
0.305,0.52,204.0
0.307,0.52,128.0
0.308,0.52,146.0
0.309,0.52,367.3333333333333
0.312,0.52,363.0
0.314,0.52,647.0
0.315,0.52,149.0
0.316,0.52,83.5
0.317,0.52,106.0
0.32,0.52,124.5
0.321,0.52,88.0
0.322,0.52,95.5
0.324,0.52,91.0
0.325,0.52,201.0
0.328,0.52,63.0
0.329,0.52,98.0
0.331,0.52,105.0
0.334,0.52,233.0
0.337,0.52,81.0
0.34,0.52,153.0
0.342,0.52,99.0
0.343,0.52,187.0
0.345,0.52,199.5
0.346,0.52,207.0
0.347,0.52,94.0
0.348,0.52,125.0
0.349,0.52,93.5
0.35,0.52,99.5
0.351,0.52,276.0
0.353,0.52,100.0
0.354,0.52,97.0
0.357,0.52,110.33333333333333
0.358,0.52,136.0
0.359,0.52,80.0
0.36,0.52,152.0
0.363,0.52,174.5
0.364,0.52,217.25
0.365,0.52,62.5
0.368,0.52,717.0
0.369,0.52,102.0
0.372,0.52,92.5
0.373,0.52,160.0
0.374,0.52,74.0
0.377,0.52,74.0
0.38,0.52,71.0
0.385,0.52,240.0
0.388,0.52,58.0
0.389,0.52,189.0
0.391,0.52,141.0
0.392,0.52,710.0
0.395,0.52,109.75
0.396,0.52,123.0
